Datetime,Water Level (m)
2024-09-08 00:00:00,0.30855906
2024-09-08 01:00:00,0.119049996
2024-09-08 02:00:00,-0.0065411883
2024-09-08 03:00:00,-0.030646997
2024-09-08 04:00:00,0.1626057
2024-09-08 05:00:00,0.63198584
2024-09-08 06:00:00,0.9894184
2024-09-08 07:00:00,1.2318163
2024-09-08 08:00:00,1.3611923
2024-09-08 09:00:00,1.2896013
2024-09-08 10:00:00,1.015629
2024-09-08 11:00:00,0.6826295
2024-09-08 12:00:00,0.4164728
2024-09-08 13:00:00,0.20403087
2024-09-08 14:00:00,0.0493319
2024-09-08 15:00:00,-0.026057307
2024-09-08 16:00:00,0.097489096
2024-09-08 17:00:00,0.5438211
2024-09-08 18:00:00,0.92738116
2024-09-08 19:00:00,1.1957402
2024-09-08 20:00:00,1.3825513
2024-09-08 21:00:00,1.4053631
2024-09-08 22:00:00,1.244857
2024-09-08 23:00:00,0.94927835
2024-09-09 00:00:00,0.667991
2024-09-09 01:00:00,0.4561456
2024-09-09 02:00:00,0.2969924
2024-09-09 03:00:00,0.20809567
2024-09-09 04:00:00,0.24300237
2024-09-09 05:00:00,0.526844
2024-09-09 06:00:00,0.8848652
2024-09-09 07:00:00,1.121293
2024-09-09 08:00:00,1.2606481
2024-09-09 09:00:00,1.2775751
2024-09-09 10:00:00,1.1037446
2024-09-09 11:00:00,0.798853
2024-09-09 12:00:00,0.522623
2024-09-09 13:00:00,0.32033285
2024-09-09 14:00:00,0.17183122
2024-09-09 15:00:00,0.08984754
2024-09-09 16:00:00,0.11523123
2024-09-09 17:00:00,0.3811886
2024-09-09 18:00:00,0.74101305
2024-09-09 19:00:00,0.9947881
2024-09-09 20:00:00,1.1863389
2024-09-09 21:00:00,1.2927512
2024-09-09 22:00:00,1.2447951
2024-09-09 23:00:00,1.0497509
2024-09-10 00:00:00,0.7666924
2024-09-10 01:00:00,0.5460576
2024-09-10 02:00:00,0.39263445
2024-09-10 03:00:00,0.3011084
2024-09-10 04:00:00,0.2972954
2024-09-10 05:00:00,0.42116985
2024-09-10 06:00:00,0.6696713
2024-09-10 07:00:00,0.86743563
2024-09-10 08:00:00,0.9964788
2024-09-10 09:00:00,1.0580703
2024-09-10 10:00:00,1.0201364
2024-09-10 11:00:00,0.8381656
2024-09-10 12:00:00,0.57431144
2024-09-10 13:00:00,0.34947678
2024-09-10 14:00:00,0.18592918
2024-09-10 15:00:00,0.08539717
2024-09-10 16:00:00,0.064965114
2024-09-10 17:00:00,0.20003481
2024-09-10 18:00:00,0.4935254
2024-09-10 19:00:00,0.7452095
2024-09-10 20:00:00,0.91752166
2024-09-10 21:00:00,1.0404392
2024-09-10 22:00:00,1.0902321
2024-09-10 23:00:00,1.0319636
2024-09-11 00:00:00,0.86595094
2024-09-11 01:00:00,0.6558481
2024-09-11 02:00:00,0.4988888
2024-09-11 03:00:00,0.38532537
2024-09-11 04:00:00,0.32102698
2024-09-11 05:00:00,0.34517032
2024-09-11 06:00:00,0.45691213
2024-09-11 07:00:00,0.613975
2024-09-11 08:00:00,0.7284004
2024-09-11 09:00:00,0.7822809
2024-09-11 10:00:00,0.786665
2024-09-11 11:00:00,0.7109856
2024-09-11 12:00:00,0.55846125
2024-09-11 13:00:00,0.37633148
2024-09-11 14:00:00,0.21287267
2024-09-11 15:00:00,0.09748774
2024-09-11 16:00:00,0.026242841
2024-09-11 17:00:00,0.026684457
2024-09-11 18:00:00,0.14330186
2024-09-11 19:00:00,0.37699133
2024-09-11 20:00:00,0.58676255
2024-09-11 21:00:00,0.7229472
2024-09-11 22:00:00,0.8215134
2024-09-11 23:00:00,0.86779
2024-09-12 00:00:00,0.84860253
2024-09-12 01:00:00,0.7664028
2024-09-12 02:00:00,0.62964016
2024-09-12 03:00:00,0.5020672
2024-09-12 04:00:00,0.4054429
2024-09-12 05:00:00,0.34050947
2024-09-12 06:00:00,0.31934908
2024-09-12 07:00:00,0.34121144
2024-09-12 08:00:00,0.3972861
2024-09-12 09:00:00,0.46902
2024-09-12 10:00:00,0.5601995
2024-09-12 11:00:00,0.6182698
2024-09-12 12:00:00,0.616213
2024-09-12 13:00:00,0.55323464
2024-09-12 14:00:00,0.43533668
2024-09-12 15:00:00,0.3113328
2024-09-12 16:00:00,0.20797108
2024-09-12 17:00:00,0.12235262
2024-09-12 18:00:00,0.080290176
2024-09-12 19:00:00,0.11729684
2024-09-12 20:00:00,0.2260648
2024-09-12 21:00:00,0.38080466
2024-09-12 22:00:00,0.5646913
2024-09-12 23:00:00,0.73017424
2024-09-13 00:00:00,0.8533644
2024-09-13 01:00:00,0.9108361
2024-09-13 02:00:00,0.89960355
2024-09-13 03:00:00,0.826581
2024-09-13 04:00:00,0.68314874
2024-09-13 05:00:00,0.51735485
2024-09-13 06:00:00,0.37095952
2024-09-13 07:00:00,0.26166907
2024-09-13 08:00:00,0.20681395
2024-09-13 09:00:00,0.20288916
2024-09-13 10:00:00,0.26326588
2024-09-13 11:00:00,0.42562187
2024-09-13 12:00:00,0.59000254
2024-09-13 13:00:00,0.68571776
2024-09-13 14:00:00,0.7168655
2024-09-13 15:00:00,0.66438067
2024-09-13 16:00:00,0.51637155
2024-09-13 17:00:00,0.33174834
2024-09-13 18:00:00,0.16892135
2024-09-13 19:00:00,0.048688743
2024-09-13 20:00:00,-0.008732061
2024-09-13 21:00:00,0.04427305
2024-09-13 22:00:00,0.25630236
2024-09-13 23:00:00,0.5579836
2024-09-14 00:00:00,0.811108
